Rank,Feature
113,ASNS2
114,PE181abcpp
115,SUCDi
116,ASPTA
117,CITL
118,PPK
119,PPA2
120,AGMH
121,PPCK
122,CDAPPA161
123,CYTK1
124,CYTBDpp
125,POX
126,ASNNpp
127,PDH
128,PGAMT
129,UAGDP
130,G1PTT
131,TDPGDH
132,ASPt2_3pp
133,PGCD
134,PSERT
135,PSP_L
136,COBALT2tpp
137,ZN2tpp
138,PLIPA2E161pp
139,RNTR3c2
140,ARGDC
141,TRPS2
142,ALAt2pp_copy2
143,EX_adn_e
144,ADNt2pp_copy2
145,ADNtex
146,EX_urea_e
147,AGMT
148,UREAtex
149,UREAtpp
150,EX_ala__L_e
151,ALAtex
152,ADA
153,3HAD140
154,PSD161
155,PSSA161
156,AACPS7
157,ASPK
158,ASAD
159,EX_asn__L_e
160,ASNtex
161,TPI
162,PSD160
163,PSSA160
164,3HAD160
165,3OAR160
166,3OAS160
167,PPC
168,ADD
169,EX_lipa_cold_e
170,CLIPAabctex
171,EDTXS3
172,EDTXS4
173,ZN2abcpp
174,EX_indole_e
175,ALATA_L
176,DGK1
177,EX_nh4_e
178,AGM3PApp
179,PE161abcpp
180,EX_anhgm_e
181,ANHGMtex
182,EAR120y
183,THIORDXi
184,CPPPGO
185,PPPGO
186,EX_glu__L_e
187,PAPPT3
188,UAGCVT
189,UAGPT3
190,UAPGR
191,UDCPDP
192,UGMDDS
193,AGMt2pp
194,PGK
195,PGI
196,CO2tpp
197,12DGR161tipp
198,DAGK161
199,CU2tpp
200,CU2abcpp
201,TRDR
202,EX_pheme_e
203,PHEMEabcpp
204,PHEMEtiex
205,FCLT
206,G1SAT
207,PPBNGS
208,UPP3S
209,UPPDC1
210,EX_g3pg_e
211,AKGDH
212,ALAR
213,PGL
214,EX_eca4colipa_e
215,AADDGT
216,ACGAMT
217,ACMAMUT
218,ECA4COLIPAabctex
219,ECA4OALpp
220,ECAP1pp
221,ECAP2pp
222,ECAP3pp
223,ECAtpp
224,TDPADGAT
225,TDPAGTA
226,UACMAMO
227,UAG2E
228,EX_uri_e
229,URIt2pp_copy2
230,URItex
231,AGPAT160
232,PMPK
233,EAR140y
234,PDX5POi
235,OPHHX
236,SERAT
237,DM_mththf_c
238,AHCYSNS
239,DHPTDCs2
240,RHCCE
241,2MAHMP
242,EX_h2o_e
243,PPA
244,EX_ade_e
245,ADEt2rpp
246,ADEtex
247,AACTOOR
248,AOBUTDs
249,AGPAT120
250,DASYN120
251,ACKr
252,PTAr
253,EX_ura_e
254,URAt2pp_copy2
255,URAtex
256,FDH4pp
257,CO2tex
258,ACS
259,CYTBO3_4pp
260,DMPPS
261,AGPAT181
262,DASYN181
263,ACLS
264,DHAD1
265,CHORM
266,DALAt2pp
267,PE120abcpp
268,PLIPA2E120pp
269,PSD120
270,PSSA120
271,EX_gua_e
272,PUNP2
273,ADK3
274,ASPO6
275,CHORS
276,DHQTi
277,PSCVT
278,SHK3Dr
279,SHKK
280,PPND
281,TYRTA
282,EX_ala__D_e
283,DALAtex
284,EX_val__L_e
285,VALt2rpp
286,VALtex
287,EX_g3pe_e
288,PLIPA2G160pp
289,AGM4PApp
290,EX_LalaDgluMdapDala_e
291,4PEPTtex
292,DADK
293,PLIPA2E160pp
294,EX_tyr__L_e
295,TYRt2rpp
296,TYRtex
297,ACONTa
298,ACONTb
299,TRPS1
300,3OAR120
301,CYSabc2pp
302,CYSabcpp
303,PUNP3
304,PE160abcpp
305,COLIPAabctex
306,ACOAD7f
307,COLIPAabcpp
308,AGMHE
309,S7PI
310,TDPDRE
311,TDPDRR
312,RHAT1
313,PGP120abcpp
314,PGPP120pp
315,PGSA120
316,EX_enlipa_e
317,ENLIPAabctex
318,PETNT161pp
319,EX_ile__L_e
320,ACHBS
321,EX_4abut_e
322,ABUTtex
323,EX_acolipa_e
324,ACOLIPAabctex
325,UDPGD
326,UDPGDC
327,UDPKAAT
328,ULA4NFT
329,ULA4Ntppi
330,UPLA4FNF
331,UPLA4FNT
332,ABTA
333,UAAGDS
334,EX_enter_e
335,PGP181abcpp
336,PGPP181pp
337,TALA
338,EX_o2_e
339,DHBD
340,DHBS
341,SERASr
342,3OAR140
343,3OAS140
344,PRAMPC
345,PRATPP
346,CTPS2
347,CPPPGO2
348,DM_5drib_c
349,5DOAN
350,AACPS1
351,SEPHCHCS
352,BIOMASS_Ec_iJO1366_WT_53p95M
353,AMMQLT8
354,CLPNS161pp
355,CLPNS181pp
356,EX_cbl1_e
357,CBL1tonex
358,CBL1abcpp
359,CBLAT
360,CDPMEK
361,PGSA181
362,BIOMASS_Ec_iJO1366_core_53p95M
363,AACPS3
364,12DGR160tipp
365,DAGK160
366,ACACT5r
367,GMPR
368,NTD11
369,MDDEP1pp
370,CYTBD2pp
371,NTPTP1
372,GTHRDtex
373,MTHFC
374,MTHFD
375,NTD8
376,OAADC
377,AMPN
378,NTPP1
379,FA160ACPHi
380,HEXt2rpp
381,ICHORS_copy2
382,DHAPT
383,FDH5pp
384,UPPRT
385,INStex
386,HSK
387,THRS
388,F6PA
389,G1PACT
390,DCTPD
391,ACPPAT160
392,APG3PAT160
393,FE2t2pp
394,DCYTD
395,PSD181
396,PSSA181
397,SUCCt2_3pp
398,PPPGO3
399,ACALD
400,ASPT
401,G3PAT160
402,EAR160x
403,PAPA161pp
404,EDA
405,EX_acald_e
406,ACALDtex
407,ACALDtpp
408,EX_hom__L_e
409,ASNt2rpp
410,PFK
411,SUCOAS
412,FACOAE120
413,ACOATA
414,DTMPK
415,ADSL1r
416,ADSS
417,HCYSMT
418,POR5
419,THRD_L
420,FBA
421,UMPK
422,PUNP1
423,G3PAT181
424,ACCOAC
425,EX_glc__D_e
426,COBALT2t3pp
427,XYLI2
428,RNTR1c2
429,ARGDCpp
430,PROD2
431,DHORD5
432,SSALx
433,ALAALAr
434,VPAMTr
435,3HAD120
436,AACPS8
437,3OAS120
438,EAR120x
439,PIt2rpp
440,ACODA
441,ACOTA
442,EX_ac_e
443,ACt2rpp
444,ACtex
445,ALAALAD
446,TRPS3
447,PAPSR2
448,FORtppi
449,EX_acser_e
450,ACSERtex
451,ACSERtpp
452,EX_arg__L_e
453,PLIPA2G120pp
454,THD2pp
455,EX_glcn_e
456,EX_ser__L_e
457,SERt2rpp
458,3HAD181
459,3OAR181
460,3OAS181
461,SSALy
462,UDCPDPpp
463,DHAD2
464,CS
465,ANPRT
466,ANS
467,PRAIi
468,ACGAMK
469,DRPA
470,PPM2
471,UAMAGS
472,UAMAS
473,EX_trp__L_e
474,TRPt2rpp
475,TRPtex
476,EX_spmd_e
477,O2tex
478,O2tpp
479,ENTCS
480,ATPPRT
481,PRMICI
482,EX_lys__L_e
483,ARGORNt7pp
484,EX_thymd_e
485,THMDt2pp_copy2
486,THMDtex
487,ACGK
488,ACGS
489,AGPR
490,EX_his__L_e
491,AICART
492,EX_15dap_e
493,CADVtpp
494,LYSDC
495,PGPP181
496,SHCHCS3
497,SUCBZL
498,SUCBZS
499,DHNAOT4
500,DHNCOAS
501,DHNCOAT
502,DMQMT
503,OHPHM
504,OMBZLM
505,DMATT
506,CTECOAI7
507,OCTDPS
508,DXPRIi
509,DXPS
510,ADPT
511,EX_glyc_e
512,SDPTA
513,SULabcpp
514,EX_dha_e
515,VALTA
516,OMPDC
517,PAPA160pp
518,ACOAD5f
519,ADCL
520,ADCS
521,ACACT3r
522,HACD1
523,HACD2
524,Htex
525,H2St1pp
526,H2Stex
527,GHMT2r
528,HSDy
529,HACD8
530,G3PD2
531,P5CD
532,G3PD6
533,Kt2pp
534,Kt3pp
535,DASYN161
536,EAR140x
537,G6PP
538,PA161abcpp
539,EDD
540,HMBS
541,G3PGtex
542,EAR181y
543,G6PDH2r
544,MTHTHFSs
545,EX_quin_e
546,QUIN2tex
547,QUIN2tpp
548,QUINDH
549,DUTPDP
550,GLYK
551,FACOAL120t2pp
552,G3PAT120
553,FACOAE160
554,KARA1
555,PUNP4
556,EAR181x
557,FEROpp
558,FACOAE100
559,DURIPP
560,GALUi
561,ARGt3pp
562,GLCTR1
563,GLCTR2
564,GALT1
565,GLCTR3
566,ARGtex
567,SERtex
568,OMPHHX
569,ACM6PH
570,AGDC
571,ANHMK
572,EDTXS1
573,EDTXS2
574,R15BPK
575,R1PK
576,ARGSL
577,ARGSS
578,PPM
579,DHFR
580,SPMDt3pp
581,SPMDtex
582,TMDS
583,PHETA1
584,PPNDH
585,5MTRtex
586,5MTRtpp
587,EX_phe__L_e
588,PHEt2rpp
589,PHEtex
590,EX_agm_e
591,AGMtex
592,PRPPS
593,ADNK1
594,TMPK
595,DAPtex
596,AIRC2
597,AIRC3
598,ADSL2r
599,PRASCSi
600,PRAGSr
601,PRAIS
602,PRFGS
603,EX_alaala_e
604,ALAALAtex
605,SDPDS
606,THDPS
607,PGP160abcpp
608,PGPP160pp
609,DHAtex
610,DHAtpp
611,AGPAT161
612,CLPNS160pp
613,PGSA160
614,A5PISO
615,RPI
616,ASPCT
617,ECOAH5
618,DHFS
619,DNMPPA
620,DNTPPA
621,DHNPA2r
622,DHPS2
623,NADH5
624,NTD10
625,GLYtex
626,HCO3E
627,LPLIPAL1G161pp
628,LDH_D2
629,ORNtex
630,NADDP
631,GTHRDabc2pp
632,GTHS
633,G5SD
634,GLYOX3
635,HXPRT
636,FUM
637,G3PEtex
638,ICL
639,OMMBLHX
640,FACOAL160t2pp
641,OCBT
642,EX_leu__L_e
643,GLCDpp
644,ICHORT
645,HSTPT
646,EX_5mtr_e
647,ADMDC
648,DDPA
649,DHQS
650,TDP
651,FACOAE140
652,DHORD2
653,EX_fe2_e
654,DAPE
655,DHDPRy
656,DHDPS
657,PGPP160
658,PGPP161
659,DAPDC
660,K2L4Aabcpp
661,K2L4Aabctex
662,FACOAL161t2pp
663,LYSt3pp
664,ZN2t3pp
665,DHORTS
666,TKT1
667,AACPS4
668,TKT2
669,ACACT4r
670,PItex
671,NTPP2
672,GART
673,GLYt2pp_copy2
674,FE3tex
675,MDDCP1pp
676,GLUDy
677,INSt2pp_copy2
678,GLYCLTDx
679,ORNDC
680,G6PDA
681,GAPD
682,G5SADs
683,HOMt2pp
684,GLUTRR
685,GLUTRS
686,NTPP8
687,HEX7
688,GLCptspp
689,GMHEPAT
690,GMHEPK
691,HEPK1
692,KARA2
693,GLUABUTt7pp
694,IPPMIb
695,IPPS
696,OMCDC
697,LA4NTpp
698,FEENTERtex
699,FEENTERtpp
700,SPMS
701,GLCS1
702,GRTT
703,FACOAE161
704,KDOCT2
705,ORPT
706,IPDPS
707,FE2abcpp
708,RPE
709,ACOAD3f
710,ACOAD4f
711,CYSTL
712,EX_cytd_e
713,CYTDt2pp_copy2
714,CYTDtex
715,U23GAAT
716,UAGAAT
717,USHD
718,UHGADA
719,EX_pi_e
720,EX_mobd_e
721,NDPK3
722,NDPK8
723,IMPD
724,NTP5
725,GLUCYS
726,LPLIPAL1E161pp
727,NDPK7
728,INSK
729,MLTGY3pp
730,INDOLEtex
731,MGSA
732,INDOLEt2rpp
733,NACODA
734,HOMtex
735,NTPP7
736,NTPP5
737,GLNS
738,NTD7
739,LPLIPAL1E120pp
740,GUAtex
741,GUAtpp
742,NTD9
743,GLCabcpp
744,FE2tpp
745,GMHEPPA
746,HEPK2
747,HEPT1
748,HEPT2
749,HEPT3
750,HEPT4
751,GRXR
752,GLCNtex
753,GLCt2pp
754,IPMD
755,IPPMIa
756,IGPDH
757,HIStex
758,G3PAT161
759,KDOPP
760,KDOPS
761,HACD5
762,GTPCI
763,ECOAH3
764,SHSL1
765,TDSK
766,ACACT6r
767,DM_4crsol_c
768,PDX5PS
769,PERD
770,PMDPHT
771,PNTK
772,PPCDC
773,PPNCL2
774,UPP3MT
775,ACACT7r
776,EX_cobalt2_e
777,EX_mn2_e
778,EX_ni2_e
779,EX_cl_e
780,PGMT
781,Zn2tex
782,MPTG2
783,NI2tpp
784,NTD4
785,NTD3
786,MDDCP4pp
787,MDDEP3pp
788,LIPACabcpp
789,GLU5K
790,NADPHQR2
791,GLYAT
792,NDPK5
793,GLYCLTDy
794,NDPK4
795,GARFT
796,H2Otpp
797,NI2abcpp
798,H2Otex
799,GLCtex_copy1
800,NTD6
